"name","street_address","google_map","review_count","phone","website","restaurant_type","average_review","food_review","service_review","ambience_review","value_review","price_range","star_1","star_2","star_3","star_4","star_5","description","restaurant_main_type","latitude","longitude","postal_code","violation_count"
"noreetuh","128 1st Avenue New York, NY  10009","//www.google.com/maps/search/?api=1&query=40.7272640%2C-73.985197",434,"(646) 892-3050","http://www.noreetuh.com/","American",4.7434,4.7,4.7,4.5,4.4,"$31 to $50",0,1,4,18,77,"Noreetuh is a modern Hawaiian restaurant in the East Village by Chef Chung Chow.  The beverage program features an extensive collection of wines supplemented by simpler selections of sakes and sojus.Noreetuh is open for dinner between Tuesday through Sunday offering elevated Hawaiian cuisine, and offer traditional Hawaiian brunch on Saturday and Sunday.","American",40.7272851,-73.9852368,10009,8
"tuome","536 E. 5th St. New York, NY  10009","//www.google.com/maps/search/?api=1&query=40.7239980%2C-73.982948",385,"(646) 833-7811","http://tuomenyc.com/","Contemporary American",4.7385,4.7,4.6,4.5,4.1,"$31 to $50",0,2,5,18,75,"Tuome serves an ingredient driven contemporary American menu with Asian influences in the East Village.","Contemporary American",40.723998,-73.982949,10009,6
"21 club","21 West 52nd Street New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7602250%2C-73.97706",3262,"(212) 582-7200","http://www.21club.com/","American",4.73262,4.6,4.7,4.7,4.1,"$50 and over",0,2,4,15,79,"Attentive service, fine American cuisine, a Grand Award-winning wine list and unique, historical surroundings set ‘21’ apart. Once a glamorous speakeasy, today '21' is one of the most celebrated restaurants in New York City. In addition to our two restaurants, the Bar Room and 'Upstairs', this four-story townhouse features ten private party rooms ideal for celebrations, meetings and banquets, including the legendary Prohibition-era Wine Cellar. DRESS CODE: No jeans or sneakers. Jackets are necessary for gentlemen. Kindly note that shorts and flip-flops are not permitted.","American",40.760533,-73.977397,10019,6
"barano","26 Broadway Brooklyn, NY  11249","//www.google.com/maps/search/?api=1&query=40.7103280%2C-73.96784",234,"(347) 987-4500","http://www.baranobk.com/","Italian",4.7234,4.7,4.6,4.6,4.3,"$30 and under",0,1,5,14,80,"Seasonal Italian Restaurant featuring wood-fired dishes inspired by  Chef Dimeglio's Italian Ischian roots  in a casual and approachable setting, serving craft cocktails, featuring an extensive wine list and hard to find beer & wines.  Located in the heart of ever growing South Williamsburg with outdoor seating accompanied by  amazing views of the Bridge.","Italian",40.7103553,-73.9678051,11249,5
"hearth","403 East 12 Street New York, NY  10009","//www.google.com/maps/search/?api=1&query=40.7299800%2C-73.983468",2270,"(646) 602-1300","http://restauranthearth.com/","American",4.7227,4.7,4.5,4.6,4.2,"$50 and over",0,2,3,17,78,"Hearth is everything the word implies...a warm, comfortable restaurant with hospitality as its goal.  Chef Marco Canora's cuisine employs seasonal, locally-sourced ingredients prepared with an Italian influence.","American",40.7300263,-73.9831883,10009,4
"giorgio's of gramercy","27 East 21st Street New York, NY  10010","//www.google.com/maps/search/?api=1&query=40.7396800%2C-73.989201",2089,"(212) 477-0007","http://www.giorgiosofgramercy.com/","Contemporary American",4.72089,4.6,4.7,4.6,4.3,"$31 to $50",0,1,5,18,76,"Giorgio's of Gramercy is one of Zagat's top rated restaurants in the Gramercy Park neighborhood.Our eclectic American menu will not disappoint. Our philosophy at Giorgio’s of Gramercy is to serve quality food using only the freshest of ingredients at great value.  We offer menus that are creative, yet simple and earthy.","Contemporary American",40.7397036,-73.9886272,10010,5
"periyali","35 W. 20th St. New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7401000%2C-73.992",1781,"(212) 463-7890","http://www.periyali.com/","Greek",4.71781,4.6,4.5,4.5,4.2,"$31 to $50",0,1,5,19,75,"A cool Mediterranean retreat from the city's chaos, with fabric-swathed ceilings and pristine white furnishings. Even on a hectic night, service is calm and competent, and the professional couples at most of the tables seem to be speaking in peaceful whispers. 
The kitchen offers scintillating versions of hearty, refreshing Greek favorites. Souvlaki is charcoal-grilled and up scaled with filet mignon to produce an impressively tender, succulent result. Wine-marinated octopus legs are also charcoal-grilled, resulting in astounding flavor and not a hint of rubberness. Classics like garlicky skordalia, fava beans, sauteed chicken livers over lentils, and spanakopita are all best-of-breed versions, the latter prepared as a platter of bite-sized pies. A sizeable portion of moussaka, consisting of layers of juicy ground lamb and eggplant, tied together by a superlative béchamel. For dessert, the array of delicate pastries and the deeply creamy rice pudding are excellent without exception.","Greek",40.7407661,-73.9928511,10011,9
"taboon","773 10th Avenue New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7660830%2C-73.990785",1545,"(212) 713-0271","http://taboononline.com/","Middle Eastern",4.71545,4.7,4.5,4.4,4.1,"$50 and over",0,1,3,20,76,"Taboon means ""oven"" in Arabic. Considered the heart of our restaurant, the wood fired Taboon oven delivers freshly prepared specialties that are exotic, healthful and full of flavor. Our trademark ""Middle Terranean"" cuisine blends the traditions of the Mediterranean with Middle Eastern cuisine using French techniques to create dishes that are uniquely delicious. Visit us at 773 10th Avenue, at the corner of 52nd Street, just steps away from the Theater District to find out what everyone's talking about. And ask us about our brand new PRE-THEATRE PRIX FIXE MENU! Reserve a table with us between 5pm and 6:00pm Monday through Friday and enjoy 3 courses accompanied by our famous fresh-baked-to-order foccacia for only $42 per person!","Other",40.7662319,-73.9910064,10019,8
"felice 64 wine bar","1166 1st avenue New York, NY  10065","//www.google.com/maps/search/?api=1&query=40.7625140%2C-73.959484",114,"(212) 593-2223","http://www.felice64.com/","Italian",4.7114,4.6,4.6,4.6,4.4,"$31 to $50",0,1,1,24,74,"This cozy NYC restaurant showcases a relaxed ambiance, with subdued lighting, exposed brick walls lined with linear shelves filled with wine, as well as rich, tufted leather seats. Italian wines and flavors from Tuscany are now served in a modern space, infused with traditional elements, on Manhattan's Upper East Side. Felice features classic Italian dishes from the menu of its sister restaurant, Sant Ambroeus, as well as tasting items and small plates.","Italian",40.7625672,-73.9595639,10065,9
"michael's","24 West 55th Street New York, NY  10019","//www.google.com/maps/search/?api=1&query=40.7621300%2C-73.976223",1135,"(212) 767-0555 ext. 1","http://www.michaelsnewyork.com/","American",4.71135,4.6,4.6,4.6,4.1,"$31 to $50",0,0,4,17,79,"A unique, spacious dining and garden room filled with fresh flowers and modern art by Stella, Johns and Hockney as well as sculptures by Robert Graham.","American",40.7620764,-73.9764372,10019,11
"nix","72 University Place New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7332500%2C-73.993674",1130,"(212) 498-9393","http://www.nixny.com/","Vegetarian",4.7113,4.7,4.4,4.5,4.1,"$31 to $50",0,1,5,18,76,"Nix is a new restaurant from Michelin-starred chef John Fraser, drawing on his personal passion for cooking with vegetables. The menu features an array of affordable and seasonal dishes, largely sourced from the Union Square Greenmarket, along with an innovative list of cocktails and wines.  Nix is open for dinner nightly, lunch on weekdays and brunch at weekends.","Other",40.7332572,-73.993611,10003,8
"bobo restaurant","181 West 10th Street New York, NY  10014","//www.google.com/maps/search/?api=1&query=40.7342970%2C-74.002619",1108,"(212) 488-2626","http://www.bobonyc.com/","French",4.71108,4.5,4.5,4.6,4.3,"$30 and under",0,1,5,20,74,"Bobo is the elder sibling of Carlos Suarez's Casa Nela group, which includes Village hits, Rosemary's , Rosemary's Pizza and Claudette. The place is easy to miss, as the entrance is downstairs; but walking in off the busy corner at W 10th and 7th Ave, guests are transported to a chic French country home with sizable bar area, parlor level dining room, and gorgeous year-round garden. The restaurant serves dinner and weekend brunch, offering classic French country cooking lightened for their West Village neighbors - confit lamb shoulder, chicken cocotte grand mere, chocolate mousse, and bistro stand-bys like oysters and panisse.","French",40.7344781,-74.0026183,10014,6
"casa lever","390 Park Avenue New York, NY  10022","//www.google.com/maps/search/?api=1&query=40.7595780%2C-73.97239",1092,"(212) 888-2700","http://www.casalever.com/","Italian",4.71092,4.6,4.6,4.6,4.1,"$50 and over",1,1,4,16,78,"Manhattan sophistication meets superb Milanese classics at Casa Lever, the new restaurant from the family that brought you Sant Ambroeus.Modern art and timeless architecture set the stage for Italian classics, curated wine and creative cocktails. The epitome of Milanese spirit, Casa Lever is where Manhattan goes for a taste of 'La Dolce Vita.' ","Italian",40.7597285,-73.9729477,10022,8
"le coq rico","30 East 20th Street New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7385740%2C-73.988902",1035,"(212) 267-7426","http://www.lecoqriconyc.com/","Contemporary French",4.71035,4.7,4.6,4.5,4,"$31 to $50",0,1,5,18,76,"The Bistro of beautiful birds, the menu is all about poultry, whole to share cooked different ways, simple dishes flawlessly prepared, an entire section of the menu dedicated to eggs. Different types of Westermann’s celebrated terrines are available, and the famous Giblets Platter inspired from his ""oldest brother"" located in Montmartre, Paris.Le Coq Rico New York is Antoine Westermann’s - a three-star Michelin chef - ode to the unique terroir of America expressed through the flavors of wild and heritage birds. Le Coq rico offers multiple seating areas, each of which, offer a unique style of dining.  Our wine hall sits directly across from our wine tower, allowing one to peruse our library of both French and American wines chosen specifically to compliment the cuisine of our chef.  We have our main dining room in the center of the restaurant.  And, for those who would like a ""bird's eye view"" of the kitchen, we offer our chef's counter.","French",40.7385845,-73.9889027,10003,12
"claudette","24 Fifth Avenue New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7331340%2C-73.995975",987,"(212) 868-2424","http://claudettenyc.com/","French",4.6987,4.6,4.4,4.7,4.2,"$30 and under",1,1,4,20,74,"Breathing new life into Lower Fifth Avenue, Claudette is an elegant Provençal restaurant steps from Washington Square Park. Opened in May 2014, Claudette joins her sister restaurants Rosemary's, Rosemary's Pizza and Bobo in offering a warm and inviting atmosphere to share great food with friends and family.  Executive Chef Ari Bokovza’s style celebrates the rich flavors of the Mediterranean and Provence while maintaining a respect for individual ingredients. His menu focuses on local produce, seafood and North African aromatics found in the Provençal kitchen. Claudette's cellar highlights the wines of Southern France, with a wide selection of Rose and Chateauneuf du Pape. The bar offers a list of unique aperitifs, cocktails and an extensive vin au verre selection, including rose on tap. ","French",40.7332403,-73.9962714,10011,10
"monkey bar","60 East 54th Street New York, NY  10022","//www.google.com/maps/search/?api=1&query=40.7600270%2C-73.973006",970,"(212) 288-1010","http://www.monkeybarnewyork.com/","American",4.697,4.3,4.4,4.6,3.9,"$50 and over",1,2,7,18,72,"Established in 1936, Monkey Bar was returned to its former glory in 2009 by Vanity Fair editor Graydon Carter. The dining room's lush red leather banquettes and dim, attractive lighting have restored the fizzy thrill of dining in a restaurant - both attractive and cozy - and harken back to a bygone era when a gentleman never left the house without a tie and a lady always had a pair of white gloves in her purse. Monkey Bar's menu boasts American classics alongside seasonal dishes using sustainable and organic products whenever possible.","American",40.7598899,-73.9732086,10022,6
"naoki takahashi","311 W 17th Street New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7420080%2C-74.001558",92,"(646) 861-0086","http://www.naoki-takahashi-ny.com/","Japanese",4.692,4.6,4.6,4.7,4.3,"$31 to $50",0,3,7,16,74,"Tucked away in a hidden space in Chelsea, Naoki Takahashi serves seasonal multi-course Japanese cuisines in a Zen-like interior.  A La carte options are also available Sunday through Thursday from 9pm to close.  Reservations for both course menu and a la Carte are being accepted.","Japanese & Koren",40.7420112,-74.0015624,10011,4
"il cortile restaurant","125 Mulberry Street New York, NY  10013","//www.google.com/maps/search/?api=1&query=40.7180010%2C-73.997905",798,"(212) 226-6060","http://www.ilcortile.com/","Italian",4.6798,4.5,4.5,4.5,4.3,"$31 to $50",2,1,6,18,73,"IL Cortile has been family owned and run since 1975. A neighborhood staple for over 40 years the Esposito family continues the tradition of sparing nothing to provide only the highest quality ingredients in all Cortile dishes.We are a full Service Restaurant Establishment offering both A-La-Carte dinning and a wide variety of pre-fix menu""s for group gatherings as well as off premise catering.","Italian",40.7179745,-73.9982225,10013,11
"bar primi","325 Bowery New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7256460%2C-73.991812",794,"(212) 220-9100","http://www.barprimi.com/","Italian",4.6794,4.6,4.3,4.5,4.1,"$30 and under",1,1,6,18,74,"Bar Primi is a corner pasta shop devoted to ‘primi piatti,’ the pasta course. What began as an idea for a small space in New York's East Village has since become an essential in chef and co-owner Andrew Carmellini's range: fresh pasta traditionally prepared and cooked to order.  At Bar Primi, the main course is Primi Piatti. We use a variety of non-GMO semolina and specialty ‘00’ flours, organic eggs and handed-down techniques to create our menu of Traditional and Seasonal pasta dishes. We make more than a dozen different shapes and styles daily. This includes lumache and rigatoni from our imported extruder or ravioli and mezzalune cut and filled by hand.  Family recipes and secrets are traded between Carmellini and Brooklyn-born chef-partner Salvatore Lamboglia who also offers a daily meat or seafood special in addition to a selection of shareable Piccolini and Antipasti, artisanal cheese, salumi and simple home-style desserts.","Italian",40.7257162,-73.9916803,10003,7
"little park","85 West Broadway New York, NY  10007","//www.google.com/maps/search/?api=1&query=40.7151430%2C-74.009182",780,"(212) 220-4110","http://www.littlepark.com/","Contemporary American",4.678,4.5,4.3,4.5,3.9,"$31 to $50",1,2,6,18,73,"Little Park is a seasonal restaurant highlighting the best ingredients from Chef and owner Andrew Carmellini’s longtime partnerships with local farmers, anglers, vintners, ranchers and foragers. Peak ingredients like organic vegetables, free-range poultry, grass-fed meats, line-caught fish and heirloom grains are sourced for their level of quality, sustainability and nutrition. Little Park also offers breakfast and lunch service daily and weekend brunch.","Contemporary American",40.7152136,-74.0091257,10007,8
"root & bone","200 E 3rd Street New York, NY  10009","//www.google.com/maps/search/?api=1&query=40.7227440%2C-73.983243",704,"(646) 682-7080","http://www.rootnbone.com/","Southern",4.6704,4.5,4.5,4.5,4.2,"$31 to $50",1,2,7,18,72,"Root & Bone takes inspiration from the traditonal and timeless tastes of the American South. Guided by Chef Jeff McInnis and his partner, Chef Janine Booth, and focused on bringing honest, consciously sourced local ingredients, we strive to bring true Southern hospitality to New York City.While we are primarily a walk-in restaurant, we do take a very limited number of reservations. For parties of 6 or more, we require a prix fixe menu. A reservationist will contact you with details regarding the menu and pricing.  Thanks and we look forward to having you!","Other",40.7226894,-73.9833023,10009,4
"tavern on the green","1 Tavern on the Green New York, NY  10023","//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862",7029,"(212) 877-8684","http://www.tavernonthegreen.com/","American",4.67029,4.4,4.4,4.7,4,"$31 to $50",1,2,6,19,72,"Magical is a word thrown around a lot when discussing Tavern On The Green and one can’t help but feel magic in the air.  Jim and David, architect Richard Lewis and landscape architect Robin Key, preserved the Victorian/ Gothic elegance of the semi-circular building; it is authentic, natural, elegant and sexy.  It has been re-built to spectacular precision and the décor is of a grand farmhouse one might find on the property of an Italian Villa or a historic Hudson River Valley mansion.","American",40.7721869,-73.9777215,10023,12
"bodega negra","355 West 16th street New York, NY  10011","//www.google.com/maps/search/?api=1&query=40.7420080%2C-74.003721",661,"(212) 229-2336","http://www.bodeganegranyc.com/","Contemporary Mexican",4.6661,4.5,4.3,4.5,4.1,"$50 and over",1,4,6,14,75,"A partnership between TAO Group, Serge Becker (Miss Lily’s, La Esquina) and his UK partners, Will Ricker and Ed Spencer Churchill, Bodega Negra has crossed the pond, bringing its menu of modern Mexican fare to New York City’s Dream Downtown. The menu consists of original items created by Brad Warner, as well as a small selection of signature dishes available at the UK location. Brad Warner’s menu draws inspiration from the diverse regions of Mexico, and is designed for sharing, ranging from small plates such as ceviches, tacos, and salads, to large-format offerings.","Mexican",40.7423311,-74.0034791,10011,8
"feast","102 3rd Ave. New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7325550%2C-73.98797",554,"(212) 529-8880","http://www.eatfeastnyc.com/","Contemporary American",4.6554,4.6,4.7,4.6,4.3,"$31 to $50",0,0,4,26,70,"Feast is a seasonal American restaurant that offers a modern interpretation to the classic dinner party in a rustic, warm, and inviting place.","Contemporary American",40.7325298,-73.9880648,10003,8
"il postino","337 East 49th Street New York, NY  10017","//www.google.com/maps/search/?api=1&query=40.7532620%2C-73.966601",473,"(212) 688-0033","http://www.ilpostinony.com/","Italian",4.6473,4.6,4.6,4.5,4,"$50 and over",3,1,7,15,74,"Il Postino sets the standard for authentic Italian cuisine. The superior quality of the food and relaxing atmosphere creates a memorable dining experience. Owners Luigi Russo and Alfio Ruocco have built a wonderful dining establishment that has gone unrivaled in the neighborhood for over 16 years.","Italian",40.7537584,-73.9674607,10017,13
"lincoln ristorante","142 West 65th St. New York, NY  10023","//www.google.com/maps/search/?api=1&query=40.7736160%2C-73.98356",4697,"(212) 359-6500","http://www.lincolnristorante.com/","Italian",4.64697,4.6,4.6,4.7,4,"$31 to $50",1,2,5,19,73,"At Lincoln Ristorante, we offer our interpretation of modern Italian cuisine in New York at Lincoln Center. Our philosophy is simple: to source the best local ingredients and prepare them with authentic Italian methods and spirit. Our location beside Lincoln Center’s reflecting pool and the Henry Moore sculpture is exquisite, with panoramic views of the campus. The cuisine at Lincoln Ristorante blends precise technique with the ingredients and comforting feel of an Italian kitchen. We rely on local farmers and purveyors along with weekly visits to our neighborhood Tucker Square Green Market, while importing the essential items (Parmigiano Reggiano, San Marzano tomatoes) from Italy that are irreplaceable. ","Italian",40.7733125,-73.9837555,10023,7
"bar italia","768 Madison Avenue New York, NY  10065","//www.google.com/maps/search/?api=1&query=40.7678710%2C-73.968442",454,"(917) 546-6676","http://www.baritaliamadison.com/","Italian",4.6454,4.5,4.5,4.4,4,"$31 to $50",1,1,7,18,73,"Very refreshing, simple and Casual but yet Elegant offering Traditional Italian Fair. Located in the middle of it all on Madison between 65 and 66 streets.","Italian",40.7679158,-73.9685168,10065,10
"temple court","5 Beekman Street New York, NY  10003","//www.google.com/maps/search/?api=1&query=40.7111940%2C-74.006901",392,"(212) 658-1848","http://www.templecourtnyc.com/","American",4.6392,4.5,4.4,4.7,4.1,"$31 to $50",1,1,7,20,71,"Influenced by New York’s original fine dining restaurants and the historic melting pot of lower Manhattan, Tom Colicchio integrates flavors and cooking techniques from across the world in modern iterations of classic 19th and 20th century New York dishes.","American",40.7112749,-74.0068449,10003,20
"scarpetta","88 Madison Ave New York, NY  10016","//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796",3829,"(212) 691-0555","http://www.scarpettarestaurants.com/new-york","Italian",4.63829,4.6,4.5,4.6,4,"$31 to $50",2,2,6,17,73,"An Italian expression that means “little shoe” – or the shape bread takes when used to soak up a dish — Scarpetta represents the pure pleasure of savoring a meal down to its very last taste. Amongst many accolades, Scarpetta NYC received a three-star review from The New York Times and a nomination for Best New Restaurant in the country from the James Beard Foundation in 2009.","Italian",40.7444337,-73.9857807,10016,11
"ai fiori","400 5th Avenue New York, NY  10018","//www.google.com/maps/search/?api=1&query=40.7502280%2C-73.983714",3794,"(212) 613-8660","http://www.aifiorinyc.com/","Contemporary European",4.63794,4.6,4.6,4.6,4.1,"$31 to $50",1,2,4,17,76,"From acclaimed Chef Michael White and the Altamarea Group, Ai Fiori celebrates cuisine from the Italian and French Riviera and showcases modern interpretations of traditional regional dishes. Located in the stylish Langham Hotel, Ai Fiori also boasts an inviting bar and lounge with an extensive cocktail and wine list crafted by the restaurant’s renowned beverage professionals.","Other Europe",40.7500752,-73.9837835,10018,12
"ammos estiatorio","52 Vanderbilt Avenue New York, NY  10017","//www.google.com/maps/search/?api=1&query=40.7542670%2C-73.977181",3773,"(212) 922-9999","http://www.ammosnewyork.com/","Seafood",4.63773,4.5,4.5,4.4,4.2,"$31 to $50",0,2,6,25,67,"***** SEAFOOD GREEK RESTAURANT ***** Located in the Heart of  Midtown, steps away from Grand Central Terminal. Ammos provides upscale, authentic cuisine from various regions of Greece. The menu features a wide array of mezedes and pristinely fresh seafood as well as whole grilled fish. Ammos is the Greek word for ""sand"" and the restaurant’s airy, open design, light woods and weathered stones conjure the sun-drenched atmosphere of the Greek islands. ","Seafood",40.7543343,-73.9773555,10017,16
