"DBA","VIOLATION.DESCRIPTION","CRITICAL.FLAG","SCORE","GRADE","GRADE.DATE"
"schilling","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",12,"A","01/18/2017"
"schilling","Evidence of rats or live rats present in facility's food and/or non-food areas.","Y",12,"A","01/18/2017"
"danji","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",6,"A","01/28/2017"
"il postino","Evidence of mice or live mice present in facility's food and/or non-food areas.","Y",12,"A","02/02/2017"
"felice 64 wine bar","Wiping cloths soiled or not stored in sanitizing solution.","Y",13,"A","02/02/2017"
"il postino","Proper sanitization not provided for utensil ware washing operation.","N",12,"A","02/02/2017"
"il postino","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","02/02/2017"
"felice 64 wine bar","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","02/02/2017"
"pig and khao","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","02/07/2017"
"pig and khao","Wiping cloths soiled or not stored in sanitizing solution.","Y",13,"A","02/07/2017"
"batard","Hot food item not held at or above 140o F.","Y",9,"A","02/08/2017"
"batard","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","02/08/2017"
"barbetta restaurant","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",11,"A","02/15/2017"
"barbetta restaurant","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","02/15/2017"
"obao","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",17,"B","02/22/2017"
"obao","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",17,"B","02/22/2017"
"noreetuh","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",7,"A","02/23/2017"
"pera mediterranean brasserie","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","02/23/2017"
"pera mediterranean brasserie","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Y",12,"A","02/23/2017"
"noreetuh","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","02/23/2017"
"pera mediterranean brasserie","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","02/23/2017"
"ammos estiatorio","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","02/28/2017"
"ammos estiatorio","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",13,"A","02/28/2017"
"ammos estiatorio","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","02/28/2017"
"ammos estiatorio","Single service item reused, improperly stored, dispensed; not used when required.","N",13,"A","02/28/2017"
"marseille","Wiping cloths soiled or not stored in sanitizing solution.","Y",10,"A","03/10/2017"
"marseille","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",10,"A","03/10/2017"
"db bistro moderne","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",9,"A","03/15/2017"
"rock center cafe","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","03/15/2017"
"toloache","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",13,"A","03/15/2017"
"toloache","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",13,"A","03/15/2017"
"db bistro moderne","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","03/15/2017"
"ousia","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",9,"A","03/27/2017"
"ousia","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",9,"A","03/27/2017"
"ousia","Accurate thermometer not provided in refrigerated or hot holding equipment.","N",9,"A","03/27/2017"
"obao","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","03/28/2017"
"remi","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",7,"A","04/05/2017"
"barbounia","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","04/05/2017"
"barbounia","Proper sanitization not provided for utensil ware washing operation.","N",13,"A","04/05/2017"
"barbounia","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",13,"A","04/05/2017"
"remi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","04/05/2017"
"nice matin","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",10,"A","04/10/2017"
"nice matin","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",10,"A","04/10/2017"
"etcetera etcetera","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","04/19/2017"
"etcetera etcetera","Wiping cloths soiled or not stored in sanitizing solution.","Y",7,"A","04/19/2017"
"mercer kitchen","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",10,"A","04/24/2017"
"mercer kitchen","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",10,"A","04/24/2017"
"mercer kitchen","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",10,"A","04/24/2017"
"lido","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","N",13,"A","04/26/2017"
"lido","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","04/26/2017"
"lido","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","N",13,"A","04/26/2017"
"lido","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","04/26/2017"
"lido","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",13,"A","04/26/2017"
"monkey bar","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",7,"A","05/02/2017"
"monkey bar","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",7,"A","05/02/2017"
"nix","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",12,"A","05/03/2017"
"nix","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Y",12,"A","05/03/2017"
"anassa taverna","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","05/04/2017"
"anassa taverna","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","05/04/2017"
"anassa taverna","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","05/04/2017"
"ai fiori","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",11,"A","05/05/2017"
"ai fiori","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",11,"A","05/05/2017"
"orsay","Proper sanitization not provided for utensil ware washing operation.","N",11,"A","05/12/2017"
"orsay","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","05/12/2017"
"orsay","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.","Y",11,"A","05/12/2017"
"molyvos","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",13,"A","05/15/2017"
"molyvos","Proper sanitization not provided for utensil ware washing operation.","N",13,"A","05/15/2017"
"molyvos","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Y",13,"A","05/15/2017"
"cafe d'alsace","Wiping cloths soiled or not stored in sanitizing solution.","Y",5,"A","05/18/2017"
"the wayfarer","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",11,"A","05/19/2017"
"the wayfarer","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",11,"A","05/19/2017"
"bodega negra","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",7,"A","05/19/2017"
"gabriel's bar & restaurant","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","05/23/2017"
"gabriel's bar & restaurant","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","05/23/2017"
"gabriel's bar & restaurant","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","05/23/2017"
"north square","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","05/25/2017"
"north square","Wiping cloths soiled or not stored in sanitizing solution.","Y",12,"A","05/25/2017"
"north square","Food contact surface not properly maintained.","N",12,"A","05/25/2017"
"almond","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",11,"A","05/31/2017"
"altesi ristorante","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","05/31/2017"
"altesi ristorante","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",12,"A","05/31/2017"
"almond","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",11,"A","05/31/2017"
"almond","Wiping cloths soiled or not stored in sanitizing solution.","Y",11,"A","05/31/2017"
"high street on hudson","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",11,"A","06/02/2017"
"high street on hudson","Proper sanitization not provided for utensil ware washing operation.","N",11,"A","06/02/2017"
"glass house tavern","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",9,"A","06/07/2017"
"glass house tavern","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",9,"A","06/07/2017"
"gran morsi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",10,"A","06/15/2017"
"club a steakhouse","Proper sanitization not provided for utensil ware washing operation.","N",13,"A","06/15/2017"
"gran morsi","Food not cooled by an approved method whereby the internal product temperature is reduced from 140o F to 70o F or less within 2 hours, and from 70o F to 41o F or less within 4 additional hours.","Y",10,"A","06/15/2017"
"club a steakhouse","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","06/15/2017"
"club a steakhouse","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","06/15/2017"
"bread & tulips","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",5,"A","06/20/2017"
"craft","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","06/29/2017"
"craft","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","06/29/2017"
"bistrot leo","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",2,"A","06/30/2017"
"the house in gramercy park","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","07/01/2017"
"the house in gramercy park","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","07/01/2017"
"la loteria","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",12,"A","07/10/2017"
"la loteria","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",12,"A","07/10/2017"
"la loteria","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",12,"A","07/10/2017"
"naoki takahashi","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","07/11/2017"
"naoki takahashi","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",7,"A","07/11/2017"
"michael's","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",7,"A","07/14/2017"
"michael's","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Y",7,"A","07/14/2017"
"masseria dei vini","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","N",13,"A","07/18/2017"
"masseria dei vini","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility¡¯s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Y",13,"A","07/18/2017"
"pera soho","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","N",3,"P","07/18/2017"
"masseria dei vini","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","N",13,"A","07/18/2017"
"toloache","Cold food item held above 41o F (smoked fish and reduced oxygen packaged foods above 38 oF) except during necessary preparation.","Y",12,"A","07/21/2017"
"toloache","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Y",12,"A","07/21/2017"
"hanjan","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Y",13,"A","07/24/2017"
"hanjan","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","N",13,"A","07/24/2017"
